Response,Sentiment
Calls are hardly answeted at 8 am tul 1200.i was calling  just hoping to get a person i just made a call at 0800 it s already voicenail saying the max call for today has reached  maximum to yry again . I submitted on line  i  was  already blocked when i knew i entered correctly. Then my md submittedcthe form.last [DATE1]  all requested  requitements his office mailed it.i also submitted  by mails the copy  lady sept  this is so far off si ce my illness  was [DATE2] i still  dud not get any payments for my claims after resubmission of what was requested documentation again yesterday i was asjed same info .its very frustrating  . Hope this will.mprove the costumer service ty,N
Can never call and speak to a live Rep. call time and time again all day. 1% chance to speak to someone and get the wrong advice and every Rep says something different,N
Can never get though to anyone. On web side tells me nothing. What to know what is going on.,N
Can never talk to anyone ever maximum callers have been reached every time,N
can not get a hold of anybody!,N
Can not get ahold of anyone,N
Can not get through to speak to someone,N
Cannot get a reply nor reach by phone,N
Cannot get in touch with anyone in the office,N
Cannot get through to anyone if you call.,N
Cannot log in. Went to the office 2 time they were full for the day at 1 pm. Tried calling at 8 am twice they were full before 8:01. Horrible experience. Not getting paid I have been off of work s1.5 months.,N
"Can't access forms through my phone, impossible to reach a person, questions just keep putting you back in the useless loop when trying to use online help",N
"Can't claimed SDI employment information, indicate the last day of working and the beginnings of disability dates and the websites keep rejecting it keep showing an error   The sad part is it very hard to talk to representatives, the phone is ringing and then the machine answer and it said phone line has reach maximum calling then hang up.",N
"Can't every get thru on phone! Had to pay $15 to park total drive and office visit([STREET ADDRESS],[CITY]) three Hours. Maybe ten minutes at window, 2-1/2 hour in line for only 3- windows. All because my letter was received same day payment was to go out. So Payments Stop. Clerk said this is common... Way.. [NAME]??",N
Can't excess online mail inbox  Needs to fix too hard and won't allow me to see inbox online,N
"cant get a hold of anyone,",N
Can't get into ID me.   Says I have an account,O
Can't get into idme.    Tried all help topics was emailing with idme.  They can't help.   Says I have another account.  Tried the 3 emails I ever used.  Still can't get in.   Idme says they can't help anymore contact Edd.    Which they never ever ever answer!!!!!!,N
"Can't get through by phone, I need help with ID-ME",O
cant get to any site meaningful just a lot of preliminary bs,O
"Can't log into SDI online despite MULTIPLE attempts.  Tried reset password. Sends a verification email, and I must leave my email to receive code, and can't get back to log in with new password.  IMPOSSIBLE to check my measssges,",O
Can't no seem to speak to Anyone and really help full,O
Can't upload any documents for my claim and can not get ahold of anyone to help,N
Claim process had very little information.  Claim was in pending status for over 6 weeks.  Asked for updates and never received anything.,N
cÛmo le aga para poder apelar mi solicitud de incapacidad [How do I help you to be able to appeal my disability application],O
Constantly being bounced around from call this number to email this address all for it to refer you back to a source that you previously used to get information only to be told to use another source that doesn't give what's needed.,N
Contact is beyond terrible!!!!!,N
Contact with Di by message limited. By ph. Almost impossible.   Time spent waiting for a reply not very positive with no income.,N
Contacting used several times and never received response I still haven't received my disability payments in full and it has been 6 weeks.,N
Could not contact anyone at EDD by phone or by email. Had to physically go to office when I got back to work because my claim was on hold and no responses to email. The worst government agency I have delt with by far.,N
Could not download form DE2593 or even find it.,O
Could not get through on the phone.    Someone called me on the phone.,O
"Could not locate forms, my benefits were suspended 4 weeks with no notification. I called as directed for 2 weeks and could never reach anyone",N
Could not speak to a representative   Could not find out answer to security question,O
"Couldn't find answers online to many questions, chat wasn't working, calling took a few tries",N
Couldn't get in contact with a representative on the phone. Called several times over several days but it kept saying the maximum amount on hold has been reached and then it would hang up on me.,N
"d Make it easier to update...too generalize and more options to be specific,.",O
Despite being able to login I continually received an Error E311. Ask EDD email which had me submit and resubmit info inevitably telling me to submit hard forms via mail instead of helping address the root issue and/or providing my receipt #. I am 4 weeks in with no pay and now received a new packet with that receipt # and the root issue in resolved.,O
Didn't have any of the answers I was looking for. I got my DE429D form which was wildly incorrect and said to contact EDD immediately if the information was wrong. It's nearly impossible to actually contact EDD.,N
Difficult getting questions answered. Would prefer speaking with a live person. Kept getting sent in circles for the same thing!,O
"Difficult process, Trying to apply as a claimant and get it to connect with ID.ME and it is not doing it. Error E324 keeps popping up, but I guess this is peak govt efficiency. Keep giving people the runaround so you dont actually have to do any work. Instead try hiring actual Web developers to fix your broken website",N
Difficult to communicate with. Extremely frustrating a website is not helpful,N
"Difficult to navigate, cannot get to talk to a real person when needed.",N
Difficult to understand. What is stated is not accurate. I am back to work and I still haven't received my final payment. I am late on my bills because of this. This whole experience has cause me even more stress,N
difficulty filling out on line form resulting in not receiving full amount I was due,N
"Difficulty to speak with a live person, representatives not available when you call the 800 number, I've only been able to speak to a live person twice throughout and current to date since [DATE].",N
DifÌcil la comunicaciÛn [Communication is difficult],N
Direct and to the point,P
Direct and to the point.,P
does not let me log in at times,O
Don't answer phone. Most docs are legalese and hard to understand,N
E mailed about not been able to open my claim anymore   No reply,N
Easily read and understood.,P
Easy,P
Easy enough to use,P
Easy to access and helpful,P
Easy to apply,P
Easy to fill out,P
Easy to follow,P
easy to follow,P
easy to follow,P
Easy to navigate,P
Easy to navigate thus far.,P
easy to understand,P
Easy to understand the claim process,P
"Easy to understand, and greatly appreciated during my ongoing medical situation.",P
Easy to use,P
Easy to use,P
Easy to use and understandable.,P
"Easy to use, knew what I needed before I filed",P
Easy to use.,P
EDD and SDI are horribly inefficient and despite 100s of calls I can NEVER her through to a human to ask why my claim was Pending for more than 2 months before I got just one payment then received emails that my supplemental 60 days leave authorized by my doctor is being disqualified. I've received no letters in the mail. I've tried to appeal online with no response. I've asked many times for claim updates with no response. This state run entity is AWFUL you should all be fired!,N
Edd has not responded to my request since [DATE],O
"EDD is impossible to get hold of on the phone. I have used the online contact and no one ever responds. When calling, after listening to a recording saying how busy they are they hang up on you. When you are disabled and need to pay your bills till you can get back to work, it's scary when money is late and no one will answer the phone or return your emails.  Also why do we have to miss a full week of pay?  That causes an extreme hardship for those of us living paycheck to paycheck.",N
EDD is the most elusive and the MOST MOST MOST HORRIBLE TO THING TO HELP WHEN YOU ARE ALREADY DOWN!!!  EDD is like such the worst EVIL FORCE in our government!!!,N
EDD needs improvement in the [CITY] office. We as applicants have to wait long lines and when you finally get to speak to someone they rush or do not know the answers to your questions.,O
EDD never answers their phone or responds to online inquiries,N
edd responded very fast,P
"EDD website had system issues, because of that I had a hard time to submit claim. EDD customer service call was always busy and never been connected. EDD should have more helpful services",N
EDD Website is hardly useful on anything one needs to know about the agency. All you need is to follow the step by step instructions.,N
Edd website NOT user friendly,N
Edd website was very helpful.,P
"Edd.ca.gov is the worse system for online or call, I became disable on [DATE], I called and called and called, no been able to get an answered, 8:00 am no available yet, continued dialing all representatives are busy  kept trying, to not avail. finally I was able to get an email in my EDD inbox, asking me to call, again the same issue, not one available, it does not matter what time it is.  the ID,me is a joke, after so many times I was able to speak to someone that looks that he had just got out of bed. I have to ask more questions in order to finished the registration, if it wasn't, because I asked questions, I could have never finished with his information. They need to have people that is well train and want to work,  Here I am over a month since I became disable, and not been able to speak to anyone to give them the info they requested, I call to speak to someone, not one available.  How I am going to pay my bills or rent?? EDD.ca.gov is the WORSE",N
Error 311 when applying. Tried to correct problem but I was unable to contact the office by phone. I also sent an email but I haven't received a response.,N
Es muy difÌcil iniciar de ion y tardan mucho en el boar el dinero y cuando habla una siempre est·n las lÌneas ocupadas y no ahÌ forma de que te contesten [It is very difficult to initiate ion and they take a long time to get the money and when one speaks the lines are always busy and there is no way for them to answer you],N
"Es muy ˙til para mi, porque me ayuda en todo el proceso. [It is very useful for me, because it helps me in all the process.]",P
"Es un poco difÌcil poder aplicar cuando es por primera vez , ya que no tienes conocimiento de cÛmo funciona el sistema. Gracias [It's a bit difficult to be able to apply when it's for the first time, as you have no knowledge of how the system works. Thank you]",O
Estoy muy agradecida con EDD Disability.   Me han ayudado grandemente. [I am so grateful to EDD Disability.   They have helped me greatly.],P
Estoy tratando de comunicarme y nunca contestan [I'm trying to communicate and they never answer],N
"Even though my Edd shows my payment schedule, I still have not received payment.",O
"Every ask edd question I submitted was ignored. I am told one thing by an edd employee, yet the website doesn't have the option they suggested.  How come there isnt any sharing of information between DI and UI?  The edd associate told me I have to certify for disability benefits when I was on automatic payments?  a lot of misinformation going around and no real answers arr given.",N
Every call ends up already being they're too full call again later,N
Every question was forwarded to the same phone number. After 5 days of no answer and the message that all agents wert busy followed by a hangup!! I decided to travel to Sacramento to talk to a human.,N
Every time I call I'm informed that the que is full and am hung up on. I submitted a question online through ask edd and am not getting a timely answer.,N
"Every time I logged in, I kept receiving error messages. It took four days for me to apply for Disability Insurance.",N
Every time I need help or try to call I can never speak to anyone very disappointing,N
Every time I tried to to someone all I got was an automated system with no results.It very difficult to to to anyone in EDD.,N
"Every time I try to use your website, it boots me out, and I have to read login, I have been trying to call for an hour and I keep getting told there's no one available and the system just keeps hanging up on me.",N
"Everyone I talked to say the same thing it takes to long to get the money that as working citizens pay into, also the continuation of benefits is not as easy to fill out and because it's filled out wrong of the getting the benefits takes a long time, and if the claimant doesn't contact the EDD office they don't contact you to fix the problem.",N
"Everything about navigating the EDD system is overwhelming, especially when you are dealing with a crisis that requires navigating the EDD system. I am truly fortunate that I have a relative that needed to apply for SDI when he was involuntarily retired from his job. Otherwise I would have NEVER been able to complete the mountain of paperwork required to get these benefits. I have no idea how most people in need do this without a close friend or relative that has the time and inclination to help. I must say that the system around getting EDD benefits is broken. It needs to MUCH more user-friendly to be of help to the vast majority of people that need it the most.",N
Everything is automated. You can't reach a live person. The FAQ are horrible,N
Everything is clear as mud. You state one thing but yet there are 5 different * next to everything. Nothing makes sense at all.,N
Everything is had,N
Everything seemed to go really smoothly.,P
everything was clear clean and simple perfect for a streamlined and easy process,P
Everything was easy to understand. Very useful and had no problems logging in. Thanks,P
Everything was easy to use,P
Everything was self explanatory.,P
Everything was well explained!,P
excelente servicio [Excellent service],P
Excellent website resources,P
Extremely dissatisfied with trying to speak with someone or trying to find forms. SuggestionÖ.  Put a SEARCH ENGINE ON YOUR WEBSITE. Easy access!!!!,N
Extremely to difficult to talk to a live person and receiving up to date information for ex problems with information or status of payment and how you will be paid and dates in the beginning of the process,N
Facil de acceder [Easy to do],P
Fairly easy,P
fast,O
Fast friendly helpful great options,P
Filed By paper,O
Filed with the help of a social worker which made the entire process very understanding,P
Filing for disability was quick and easy. Especially since I didn't have to find or calculate my past hours of employment,P
Filing for new claims seems to have a lot of explanation but is not very used friendly.  Overly complicated,N
"First and foremost, I have to create an account in order to login. When you login, make sure you follow the instructions.",O
First of I called over 300 times could get help one time I got lady hund up me first I'm just started dialysis she was very rude,N
"First off, people want to talk to people.  So, having more staff to answer the phones would bring happiness to a lot of folks who are already stressed due to their disability.  And, if my call can't be answered, I'd like to know immediately instead of learning it a couple of minutes later.     The Contact Us and FAQ section requires too much reading and searching and becomes frustrating.  It's too difficult to provide examples in writing and without the pages in front of me.",N
"Fixed my mistakes, removed my confusion.",O
For 2 weeks the telephone contact says there are no representatives to help. And you cannot use the call back features. The FAQs not helpful,N
For me it is a very complicated system and it does not solve the problem.,N
Form i need to fill out never came,O
Forms and info seemed easy enough,P
Forms are conveniently uploaded for user's use. Thank you.,P
Forms showed up late. When navigating out of a page I was logged out by the system almost every time and had to login and navigate all over again not knowing what section to use.,N
Found all the information to be very useful,P
Found most info  I was looking for,P
Getting someone to answer the phone is difficult.,N
"Getting through to EDD is impossible, needing a better system. Online is not always helpful and can get very frustrating. It took me longer to submit my claim because I had no assistance.  Customer service assistance needs to get better. It says payment should post within 14 days and my second payment has not posted to my account. I'm confused!!!!!!!",N
Getting through to EDD on the phone or via email is useless. I had to drive 20 miles to the nearest EDD office to get any help whatsoever. Very poor communication resources .,N
Gives you details how to fill it out,O
Good,P
"Got a lot of error messages. It said to contact disability office but tried calling many times throughout the day, for several days, and was not able to get a hold a anyone. Kept being told no reps available and told to call back. Very, very frustrating trying to file a claim or to talk to a rep and not being successful at all. As of today, I still can't file a claim to get through to a rep. Changes need to be made to this program and make it easier to file a claim. Make representatives available to talk to us and help us out with the process or when errors in filing occur. Make it a less stressful and frustrating process. Answer the phones please!",N
Got some of the info needed,P
Great,P
Great help with question when I eventually spoke with you. Very hard to get a live call though. Left question on the site and a few days later did get the response that I was looking for,P
Great overall usage of EDD website,P
Great service,P
Great services. Easy to use on line,P
Great tool and website,P
Had a difficult time maneuvering through the given instructions need a representative to assist my needs.,O
Had a hard time actually getting to talk to a rep directly,N
"Had a hard time with filing. I had an EDD account during covid, the site wanted me to sign in with my password which I had forgotten. So I chose to reset my password in doing that the site asked for the last amount of my check that was issued to me for my Covid pay. I had no idea how much that was since it was four years ago. Also, it was deposited onto a Bank of America card, which is now closed so I had no way to know what that amount was. after that, I could not change my password without knowing that amount so I had to call and of course I could not get through because it's always busy so finally I got through on like a week later. I talked to  a person asked them if I could file with them they said no, asked them if I could have them change my password, they said no. They then gave me a phone number to change my password. This took entirely too long to accomplish. I called that number they changed my password, which was helped. But the had a hard time with the Id.me site.",N
Had all the answers for questions I had.,P
"Had difficulty using the options I was given. I called the 800 number that's shown for help, but I never spoke to anyone. I kept getting a call back later message because lines were busy, I did call back numerous times with same message's and didn't receive help.",N
had to call to find out when i will be reciving my payments,O
Had to speak with two different offices to get help . After hour of attempts calling and I had to stand in two different lines to finally getting lucky at attempt #20 getting ahold of the unemployment office. To resolve the issue,O
Happy with setvice and benefits,P
Happy with the help.,P
Happy you're here to help me in this time of need.,P
Hard to  Connect with someone live,N
Hard to contact anybody from EDD. Due to answering machine. not like before when you call they answered right away.,N
Hard to find and navigate,N
"Hard to get ahold of anyone for help. My whole case was messed up, the lady I finally got through too after three weeks of calling at least 15 times a day staying on hold until it hung up on me, was very nice and she helped me very quickly. I wish I could remember her name because she was great and got my stuff together within a matter of minutes. It is very hard to get ahold of people when you need help. There are people who have families and are on the verge of losing their homes and need this money, there should be better ways to be able to get ahold of someone.",N
Hard to get in touch with EDD's customer service. I want to know why my benefits was stopped. I went on line to see what's going on and saw that there was a form that I needed to fill out but the problem is i didn't see the email in time for me to be able to reach the deadline. But I saw there that my dr turned in my extension certificate. Now I am left with 1 benefit payment not paid and wondering if my benefit payment will still continue. I have one month to go for disability so that's 3 benefit payment that I might not get. Need those to pay my bills. I am behind with my bills right now. EDD should make it easier for us to reach the customer service and find out what's going on. Just today I've called EDD 8x already but I always end up 'customer service already reach maximum calls . Try calling again.' Same thing happened yesterday. This is so frustrating.,N
Hard to get some answers or figure out what you need. They don't get back to you.,N
"Hard to login and not helpful at the office ,  No one answers over the phone .",N
Hard to reach a customer rep thru the phone with caller limits reached. No possible way to get in contact with someone at any time. Call system makes it extremely difficult to reach your call destination in order to speak to a rep and by that time you receive a message that the caller amounts limits have been reached and to call another time. It is extremely difficult and frustrated in trying to navigate the system.    Ask EDD does not search the EDD website instead it takes you to web pages. It is useless.     The FAQ 's are out of date and some web links are no longer working. We need updated FAQ's and updated web pages with current information.,N
Hard to reach live person when calling. The number of calls has reached the maximum for the day when I call at 8am everyday. Its frustrating. I had issues with my disability claim and couldn't reach anyone on the phone. I sent messages online and it took months of going back and forth just to resolve it.,N
Hard to talk to actual person,N
Hard to understand what to do next. Should make it clear that you need to complete everything until you get a RE number. If someone doesn't finish notify them by email that they are not yet finished completing application.,N
Have attempted to call different hours and different days throughout the work week but can never get through to a worker to talk too.,N
Have been trying to contact the Disability office. I have not received payment since [DATE] I have no mail claims and I have no reasons to complete anything per the on light claim status please help.,N
Have had issues accessing my messages. I have unread messages that won't load and have contacted numerous people without resolve to the issue. Is it possible to receive these messages in the regular mail. Thank You for being of assistance,O
Have not received any payments since [MONTH]! What's going on?,N
Have not received any payments yet. Unsure why?,O
Have to call 19 times and still can't get through to contact them,N
Have tried for over a month to get a question answered about my computation. Have had no response. The phone number goes to a recording and I can never get through. Have no idea how to make appt. or get help.,N
"Have tried to talk to ANYONE by phone, but recording always says 'maximum calls have been reached, can't speak to you'. My claim progress says ' processing'  I havebeen disabled since [DATE], haven't rec'd any payments or notifications. My dr office has proof of filing. I NEED HELP!",N
Having problems with home page. Page doesn't load and gives a access denied message.,N
Having the website read and even begin our claim is very useful and faster than mail.,P
Help button and or frequently asked questions all refer you back to the 1800# and when you call the number it's very hard to get through.,N
Help is just a loop.,O
Help just gave info on the page you are on. Not helpful,N
Helped me contact SDI to help correct my mistakes and continue my draws.,P
Helped me repair my previous mistakes,P
Helpful to know how to complete the paperwork.,P
Helps to variate the website,P
"Hi,there was a required message I did not know and responded late. My payment was not completely paid. It should be paid till [DATE1], not till [DATE2].",O
"Honestly don't remember much about it, it's been a few months but it is helpful when needed",P
"Horrible at getting back to you in any form of adequate time. Waited 12 weeks for a call back and called everyday....which would give me a call back another time, too many calls...unacceptable. not happy at all with the process.",N
"Horrible telephone service     Horrendous.   You need new, business oriented leadership.",N
"How about you people answer the phone @ [PHONE NUMBER] this government outfit is a joke. I did the online bullshit and it sucks portion of my claim was denied because I was not under the care of a doctor. That's not true my care started the day I was referred to this doctor and had to go do blood work leading up to surgery. I think you people need look up definitions of what under care means. The problem is your online link to appeal does not work and if you answered the stupid phones, I may have been able to get help. You people make me sick. We as tax payers I have worked almost my whole life and when I need assistance I get this bullshit poor excuse of a government assistant program that does nothing but make me sick to my stomach. I had to stand for two hours in line outside at your Sacramento office only to be told fill out and return us. This make me sick because i was still recovering from surgery. Thanks for not helping me this problem.",N
Human resources officer.,O
I am a visual learner. The video was ver detailed.,O
I am able to have my questions answered in a timely manner,P
"I am angry because I did not receive my 1st Disability payment and I can not get through via phone as I keep being told there are no agents available to take my call.  I have been calling since 8 am.  I need this money and want to know why I haven't received it yet (how long from issuance to showing in my bank account) or why it was not already received.  This is very disappointing and there are people who need this money.  Even if I had to wait I would, but the message just says to keep calling back.  That is ridiculous.",N
"I am back to work partime, who and where can I inform, the 800 no is useless",O
I am being asked to check and answer some questions but it does not let me do this. I has become a back and forth Chore I always get this on a Saturday. Can they not send this on a Monday?,O
"I am confused about my claim payment and unable to find answers to my specific questions. Completely unsure and unable to make contact with a representative for answers. Specifically why my payment has not been direct deposited to my account , although it has been 'authorized ' ??",O
I am having a hard time contacting a live person.,N
I am nervous about transferring my medi-cal benefits from [CITY1] to [CITY2] - but it seems to be going ok - hoping for a timely response from [CITY2] community health.,O
I am not good at using computers so I struggled due to this.,O
I am older and do not understand whether or not my claim is going to go hrough and the fact I have not been able to speak to someone is extremly frustrating. t,N
i am receiving an error message regarding my personal information. i called over 30 times and still have not been able to speak to someone. can someone please call me. [PHONE NUMBER] [NAME],O
"I am request an urgent update on the status of my Disability Insurance claim, have been experiencing significant delays in receiving a resolution and have been unable to get a timely response despite multiple attempts to contact your department.  Claim Number: [CLAIM NUMBER]  Case ID: [CASE ID]  Appel Request Date: [DATE]  Despite following all procedures and providing all required documentation in a timely manner, I have not received any updates on my claim, and my attempts to reach a representative via phone and email have not been successful causing the delay & why my claim remains unresolved.  Lack communication causing distress during already financial hardship challenging time for me and my family respectfully request clarification on:   What is causing the delay?  timeline Given the time-sensitive nature of this matter, when can I expect a decision or payment to be processed?  Escalation of the case: If necessary, can this matter be escalated to ensure prompt resolution?",N
I am still unclear . My appeal claim has been approved. I have been waiting for EDD to decided to pay me the backed up amount which has been updated in the file. There is no transparency in the progress of the claim,N
I am trying to get my new inbox messages and I'm not able to read the 5 new messages. I also need to update my return to work date to [DATE]. Cannot find the the menu for my new doctors extension. Need to be able to receive my benefits until my release date. Thank you,O
"I am trying to STOP my disability payments. I have gone to these various aids to discover how to stop my payments and I get caught in a information loop. Or there are to many people waiting in line for help from a live EDD SDI representative; and you hang up on me. Easy to sign up for benefits, had as heck to stop these benefits.",O
I applied for disability on [DATE] due to my pregnancy but haven't received any payments yet. I've called daily and left messages with no response. I'm growing concerned as I need the money to cover bills,P
I applied on [DATE1] and today is now [DATE2] and yet have to receive any documents or payment. I try to call and no luck all it says is all operators are busy all day long. I have sent emails and request for updates yet again with no results. I'm unsure at this point what I can do.,O
I appreciate the help and the easy way things are done online. Everyone has been very helpful. Thank you so much,P
I appreciate the job you do. Thank you for helping me through a difficult time. The consistency of the benefits is what helps with my responsibilities.,P
I appreciate the system. It is very helpful. Thank you for the help in making it through tough times.,P
I appreciate the timely manner and the help that I get when I drive all the way to [CITY1] from [CITY2] California but I find it and inconvenience if people were to answer the phone the only way I get help is if I come down and wait the 30 minutes for someone to call me back then everything is okay. I believe they should hire more people to work from home or in the office who have compassionate hearts and are willing to help those who are in need I would love to apply one day and help I've heard of people waiting a year 6 months and more to get their benefits started there should be more human kindness especially for the disabled but I always get the help thank you so much for processing my paperwork in a Atimely manner. If you need more information please contact me at [PHONE NUMBER],P
I asked a question 3 weeks ago and never got an answer.,N
"I asked EDD to call me almost every day for the 12 weeks of my FMLA and never got a call back. I had not been paid out all that time even though a claim was approved which created more of a hardship on me. I had to go to the local EDD office and wait, and then the computer system went down, I still waited, and thank goodness I did because of so many people leaving I was seen just in time before the day ended.  The woman who helped me was surprised that no one contacted me and she fixed my issues in less than 2 minutes. I finally have received my 12 weeks of benefits and am now on schedule in the system.",O
"I asked for updates multiple times. I did not get any after the initial one saying I was missing paperwork. I could not get ahold of anyone via phone. It would just say there was nobody to answer my call and hang up.   My doctor made a mistake online, and after that it would not let them submit anything online. I had to wait for paperwork to be sent. Then, after that, I just sat and waited not knowing anything for weeks. I even tried to do the online survey link, and it would not link you to the survey. It seems preposterous that this is an actual state run 'business. '  You hang onto taxpayer money, and then make it nearly impossible for them to access it? I don't understand how people can defraud this system when you cannot even receive help, and your online system and communication tools are all severely broken.",N
I asked several times about claim status go no answer,N
"I attempted to call EDD for clarification on the type of claim and process only to hear the maximum amount of callers were waiting and was hung up on, that didn't help me at all and made me uneasy delaying the process as I'm the sole provider for my kids.",N
I been trying to talk to somebody over the phone and isn't always busy ! I could not connect thru your web page,N
"I called every day for a whole week, several times a day and was never able to speak to someone. I ended up just using my vacation hours because of how difficult it was to file SDI.",N
